question_id,title,paragraph_id,question,ans_1,ans_2,ans_3,question_id_unique
0,Super_Bowl_50,1,スーパーボウル50でAFCを代表したのはどのチームか？,Denver Broncos,Denver Broncos,Denver Broncos,56be4db0acb8001400a502ec
1,Super_Bowl_50,1,スーパーボウル50でNFCを代表したのはどのチームか？,Carolina Panthers,Carolina Panthers,Carolina Panthers,56be4db0acb8001400a502ed
2,Super_Bowl_50,1,スーパーボウル50はどこで開催されたか？,カリフォルニアのサンタクララ,Levi's Stadium,カリフォルニアのサンタクララにある、サンフランシスコのベイエリアのLevi's Stadium,56be4db0acb8001400a502ee
3,Super_Bowl_50,1,スーパーボウル50で優勝したのはNFLのどのチームか？,Denver Broncos,Denver Broncos,Denver Broncos,56be4db0acb8001400a502ef
4,Super_Bowl_50,1,スーパーボウル50は50周年記念を強調するために使用されたのはどの色か？,黄金,黄金,黄金,56be4db0acb8001400a502f0
5,Super_Bowl_50,1,スーパーボウル50のテーマは何か？,「黄金の記念日」,黄金の記念日,「黄金の記念日」,56be8e613aeaaa14008c90d1
6,Super_Bowl_50,1,試合は何日に行われたか？,2016年2月7日,2016年2月7日,2016年2月7日,56be8e613aeaaa14008c90d2
7,Super_Bowl_50,1,AFCとは何の略か？,アメリカンフットボールカンファレンス,アメリカンフットボールカンファレンス,アメリカンフットボールカンファレンス,56be8e613aeaaa14008c90d3
8,Super_Bowl_50,1,スーパーボウル50のテーマは何か？,「黄金の記念日」,金色,「黄金の記念日」,56bea9923aeaaa14008c91b9
9,Super_Bowl_50,1,AFCとは何の略か？,アメリカンフットボールカンファレンス,アメリカンフットボールカンファレンス,アメリカンフットボールカンファレンス,56bea9923aeaaa14008c91ba
10,Super_Bowl_50,1,スーパーボウル50は何日に開催されたか？,2016年2月7日,2016年2月7日,2月7日,56bea9923aeaaa14008c91bb
11,Super_Bowl_50,1,スーパーボウル50で優勝したのは誰か？,Denver Broncos,Denver Broncos,Denver Broncos,56beace93aeaaa14008c91df
12,Super_Bowl_50,1,スーパーボウル50はどの会場で開催されたか？,Levi's Stadium,Levi's Stadium,カリフォルニアのサンタクララにある、サンフランシスコのベイエリアのLevi's Stadium,56beace93aeaaa14008c91e0
13,Super_Bowl_50,1,スーパーボウル50はどの市で開催されたか？,サンタクララ,サンフランシスコ,サンタクララ,56beace93aeaaa14008c91e1
14,Super_Bowl_50,1,ローマ数字を使用した場合、スーパーボウル50は何と呼ばれるか？,Super Bowl L,Super Bowl L,Super Bowl L,56beace93aeaaa14008c91e2
15,Super_Bowl_50,1,スーパーボウル50はどのシーズンのNFLの優勝チームを決定するものか？,2015,2015年,2015,56beace93aeaaa14008c91e3
16,Super_Bowl_50,1,Denver BroncosがSuper Bowlタイトルを3回防御したのはどの年か？,2015,2016,2015年,56bf10f43aeaaa14008c94fd
17,Super_Bowl_50,1,どの市でスーパーボウル50は開催されたか？,サンタクララ,サンフランシスコ,サンフランシスコ,56bf10f43aeaaa14008c94fe
18,Super_Bowl_50,1,スーパーボウル50が開催されたのはどのスタジアムか？,Levi's Stadium,Levi's Stadium,Levi's Stadium,56bf10f43aeaaa14008c94ff
19,Super_Bowl_50,1,スーパーボウル50の最終スコアは何か？,24-10,24-10,24-1,56bf10f43aeaaa14008c9500
20,Super_Bowl_50,1,何月何日にスーパーボウル50は開催されたか？,2016年2月7日,2016年2月7日,2月7日,56bf10f43aeaaa14008c9501
21,Super_Bowl_50,1,スーパーボウル50は何年か？,2015,2016,2016年,56d20362e7d4791d009025e8
22,Super_Bowl_50,1,AFCのチャンピオンはどのチームか？,Denver Broncos,Denver Broncos,Denver Broncos,56d20362e7d4791d009025e9
23,Super_Bowl_50,1,NFCのチャンピオンはどのチームか？,Carolina Panthers,Carolina Panthers,Carolina Panthers,56d20362e7d4791d009025ea
24,Super_Bowl_50,1,スーパーボウル50で優勝したのは誰か？,Denver Broncos,Denver Broncos,Denver Broncos,56d20362e7d4791d009025eb
25,Super_Bowl_50,1,スーパーボウル50はどのシーズンのNFLの優勝チームを決定するものか？,2015,2015年,2015,56d600e31c85041400946eae
26,Super_Bowl_50,1,スーパーボウル50で優勝したのは誰か？,Denver Broncos,Denver Broncos,Denver Broncos,56d600e31c85041400946eb0
27,Super_Bowl_50,1,スーパーボウル50はどこで開催されたか？,サンタクララ,カリフォルニアのサンタクララにある、サンフランシスコのベイエリアのLevi's Stadium,Levi's Stadium,56d600e31c85041400946eb1
28,Super_Bowl_50,1,NFLの優勝を決める試合の名前は何か？,スーパーボウル50,スーパーボウル50,スーパーボウル50,56d9895ddc89441400fdb50e
29,Super_Bowl_50,1,スーパーボウル50でAFCを代表したのはどのチームか？,Denver Broncos,Denver Broncos,Denver Broncos,56d9895ddc89441400fdb510
30,Warsaw,1,Marie Curieが女性で最初の受賞者となったのは何か？,ノーベル賞,ノーベル賞,ノーベル賞,5733a5f54776f41900660f45
