sent_index,title,para_idx,source_sentence
0,Super_Bowl_50,1,Super Bowl 50 était un match de football américain pour déterminer le champion de la National Football League pour la saison 2015.
1,Super_Bowl_50,1,"Le Denver Broncos, le champion de la Conférence américaine de football (AFC), a battu le Carolina Panthers, la championne de la National Football Conference (NFC), 24-10 pour remporter son troisième titre du Super Bowl."
2,Super_Bowl_50,1,"Le match a eu lieu le 7 février 2016 au Levi's Stadium, dans la baie de San Francisco, à Santa Clara, en Californie."
3,Super_Bowl_50,1,"Comme c'était le 50e Super Bowl, la ligue a souligné « le anniversaire d'or », avec diverses initiatives sur le thème de l'or."
4,Super_Bowl_50,1,"Il suspendre temporairement la tradition de nommer chaque jeu du Super Bowl avec des chiffres romains (sous lequel le jeu aurait été « Super Bowl L »), de sorte que le logo pourrait mettre en évidence les chiffres arabes 50."
5,Warsaw,1,"L'une des personnes les plus célèbres née à Varsovie était Maria Skłodowska-Curie, qui a obtenu une reconnaissance internationale pour ses recherches sur la radioactivité et a été la première femme lauréate du prix Nobel."
6,Warsaw,1,Musiciens célèbres incluent Władysław Szpilman et Frédéric Chopin.
7,Warsaw,1,"Bien que Chopin est né dans le village de Żelazowa Wola, à 60 km (37 mi) de Varsovie, il s’installe à la ville avec sa famille alors qu’il était âgé de sept mois."
8,Warsaw,1,"Casimir Pulaski, un général polonais et héros de la guerre d’indépendance américaine, est né ici en 1745."
9,Normans,1,"Les Normands étaient les personnes qui, dans les 10ème et 11ème siècles, donnèrent leur nom à la Normandie, une région en France."
10,Normans,1,"Ils étaient les descendants des aventuriers scandinaves et pirates du Danemark, l’Islande et la Norvège qui, sous leur chef Rollo, a accepté de prêter serment d’allégeance à Charles III, roi de Francia occidental."
11,Normans,1,"À travers des générations d'assimilation et de mélange avec les populations indigènes franques et romano-gauloises, leurs descendants se fondaient progressivement avec les cultures carolingiennes de l'ouest de la France."
12,Normans,1,"L'identité culturelle et ethnique distincte des Normands a émergé initialement dans la première moitié du 10ème siècle, et il a continué à évoluer au cours des siècles suivants."
13,Nikola_Tesla,1,"Nikola Tesla (10 juillet 1856 - 7 janvier 1943) était un inventeur serbe américain, un ingénieur électricien, un ingénieur en mécanique, un physicien et un futuriste."
14,Nikola_Tesla,1,Il est plus connu pour ses contributions à la conception du système moderne d'alimentation en courant alternatif (AC).
15,Computational_complexity_theory,1,"La théorie de la complexité computationnelle est une branche de la théorie du calcul en informatique théorique qui se concentre sur la classification des problèmes de calcul en fonction de leur difficulté inhérente, et en reliant ces classes les unes aux autres."
16,Computational_complexity_theory,1,"Un problème de calcul est considéré comme une tâche qui est en principe susceptible d'être résolue par un ordinateur, ce qui revient à dire que le problème peut être résolu par l'application mécanique d'étapes mathématiques, telles qu'un algorithme."
17,Teacher,1,"Le rôle de l'enseignant est souvent formel et continu, exercé dans une école ou un autre lieu d'éducation formelle."
18,Teacher,1,"Dans de nombreux pays, une personne qui souhaite devenir enseignant doit d'abord obtenir des qualifications professionnelles ou des titres de compétences spécifiques d'une université ou d'un collège."
19,Teacher,1,"Ces qualifications professionnelles peuvent inclure l'étude de la pédagogie, la science de l'enseignement."
20,Teacher,1,"Les enseignants, comme les autres professionnels, peuvent devoir poursuivre leurs études après leur qualification, un processus connu sous le nom de développement professionnel continu."
21,Teacher,1,"Les enseignants peuvent utiliser un plan de leçon pour faciliter l'apprentissage des élèves, en fournissant un cours d'étude appelé le curriculum."
22,Martin_Luther,1,"Martin Luther (10 Novembre 1483 - 18 Février 1546) était un Allemand professeur de théologie, prêtre, moine, et une figure importante de la réformation protestante."
23,Martin_Luther,1,Luther rejetait plusieurs enseignements et pratiques de l'église Catholique de la fin de l'ére médiévale.
24,Martin_Luther,1,Il était contre l'affirmation qu'il était possible d'acheter le pardon de Dieu pour ses péchés avec de l'argent.
25,Martin_Luther,1,Il proposa une discussion académique sur le pouvoir et l'utilité des indulgences dans ses 95 thèses de 1517.
26,Martin_Luther,1,Son refus de retirer ses écrits a la demande du Pape Leo X en 1520 et de l'empereur du Saint Empire Romain Charles V lors de la Diète de Worms en 1521 résulta en son excommunication par le Pape et a sa mise hors-la-loi par l'Empereur.
27,Southern_California,1,"La Californie du Sud, souvent abrégé SoCal, est une région géographique et culturelle qui comprend généralement plus au Sud 10 comtés de la Californie."
28,Southern_California,1,"La région est traditionnellement décrite comme « huit comtés », basées sur les données démographiques et économiques : Imperial, Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara et Ventura."
29,Southern_California,1,"La définition plus large de 10-comté, comprenant les comtés de Kern et San Luis Obispo, est également utilisée issu des divisions politiques historiques."
30,Southern_California,1,La Californie du sud est un centre économique majeur pour l’état de Californie et les États-Unis.
31,Sky_(United_Kingdom),1,"Formé en novembre 1990 par la fusion égale de Sky Television et British Satellite Broadcasting, BSkyB est devenue plus grande entreprise de télévision numérique abonnement du Royaume-Uni."
32,Sky_(United_Kingdom),1,"Après l'acquisition 2014 de BSkyB de Sky Italia et un intérêt de la majorité 90,04% pour le ciel Deutschland en novembre 2014, son plc de British Sky Broadcasting Group Inc de holding a changé son nom en Sky plc."
33,Sky_(United_Kingdom),1,"Les opérations du Royaume-Uni ont également changé le nom de la société de British Sky Broadcasting Limited en Sky UK Limited, commerçant toujours comme Sky."
34,Victoria_(Australia),1,"L'économie de Victoria est fortement diversifiée : les secteurs des services comprenant des services financiers et de propriété, la santé, l'éducation, la vente en gros, la vente au détail, l'hospitalité et la fabrication constituent la majorité d'emploi."
35,Victoria_(Australia),1,"Le produit brut total de l'état de Victoria (système de préférences généralisées) est rangé en second lieu dans l'Australie, bien que Victoria soit rangée quatrièmement en termes de système de préférences généralisées par habitant en raison de son activité limitée d'exploitation."
36,Victoria_(Australia),1,"The Melbourne Cricket Ground est à la maison à un certain nombre de musées, de galeries d'art et de théâtres et est également décrite comme « capital sportif d'Australie."
37,Victoria_(Australia),1,"le cricket a Merbourne est le plus grand stadium in Aistralie, et accueille les jeux olympiques de 1956 et les jeux de 2006."
38,Victoria_(Australia),1,"cet endroit est aussi considere comme la « maison spirituelle » du cricket australien et des regles australiennes de football , et accueille les jeux finals du footbal australian chaque annee, qui ramene environ 95,000 personnes."
39,Victoria_(Australia),1,"la ville de Victoria comprends huit universites publiques, la plus ancienne etant l'universite de Melbourne, fondee en 1853."
40,Huguenot,1,"les huguenot etaient environ deux millions  en 1562, et etait concentre principaement dans le sud et centre de la France, environ un huitieme le nombre de Francais catholiques. "
41,Huguenot,1,"les Huguenots avaient etendu leur infuence, and montraient leur croyances en publique, l'hostilite des catholiques grandit , en depit de leurs concessions politiques lilberales, et Declarations envers la couronne francaise."
42,Huguenot,1,"Suivi d’une série de conflits religieux, appelés les guerres de Religion, combattu par intermittence de 1562 à 1598."
43,Huguenot,1,"Les guerres se terminant enfin l’octroi de l’édit de Nantes, qui a accordé l’autonomie religieuse, politique et militaire renforcée de Huguenots."
44,Steam_engine,1,"Locomotives à vapeur sont des moteurs à combustion externe, où le fluide de travail est séparé des produits de combustion."
45,Steam_engine,1,"Une source de chaleur sans combustion tels que l’énergie solaire, énergie nucléaire ou l’énergie géothermique peut être utilisée."
46,Steam_engine,1,Le cycle thermodynamique idéal utilisé pour analyser ce processus s’appelle le cycle de Rankine.
47,Steam_engine,1,"Dans le cycle, l'eau est chauffée et transformée en vapeur dans une chaudière opérant à pression très forte."
48,Steam_engine,1,"Quand il traverse les pistions et les turbines, le travail mécanique est fait."
49,Steam_engine,1,La vapeur à pression réduite est ensuite condensée et renvoyée dans la chaudière.
50,Oxygen,1,L'oxygène est un élément chimique avec le symbole O et le numéro atomique 8.
51,Oxygen,1,C'est un membre du groupe chalcogène sur le tableau périodique et est un agent non métallique et oxydant hautement réactif qui forme facilement des composés (notamment des oxydes) avec la plupart des éléments.
52,Oxygen,1,"L’oxygène est l’élément abondant dans l’univers, le troisième plus après l’hydrogène et l’hélium."
53,Oxygen,1,"À température et pression standard, deux atomes de l’élément se lient à la forme de dioxygène, un gaz diatomique, incolore et inodore, avec la formule O2."
54,Oxygen,1,"L'oxygène gazeux diatomique constitue 20,8% de l'atmosphère terrestre."
55,Oxygen,1,"Cependant, surveillance de l’oxygène atmosphérique niveaux Voir l’une tendance mondiale à la baisse, en raison de la combustion de combustibles fossiles."
56,Oxygen,1,"L’oxygène est l’élément le plus abondant en masse dans la croûte terrestre dans le cadre des oxydes tels que le dioxyde de silicium, qui composent près de la moitié de la masse de la croûte."
57,1973_oil_crisis,1,"La crise de 1973 a débuté en octobre 1973 quand les membres de l'Organisation des pays arabes exportateurs de pétrole (OPAEP, composé des Etats arabes membres de l'OPEP et l'Égypte et la Syrie) a proclamé un embargo sur le pétrole."
58,1973_oil_crisis,1,"D'ici la fin de l'embargo en mars 1974, le prix du pétrole a augmenté, passant de 3 dollars le baril à près de 12 dollars à l'échelle mondiale."
59,1973_oil_crisis,1,Les prix américains étaient significativement plus élevées.
60,1973_oil_crisis,1,"L'embargo a provoqué une crise du pétrole, ou « choc », avec de nombreux effets à court et à long terme sur la politique mondiale et l'économie mondiale."
61,1973_oil_crisis,1,"Il a été plus tard appelé le « premier choc pétrolier », suivie de la crise du pétrole de 1979, appelé le « second choc pétrolier »."
62,Apollo_program,1,"Le programme Apollo, également connue sous le nom de projet Apollo, a été la troisième United States human spaceflight programme mis au point par la National Aeronautics and Space Administration (NASA), qui fait l'atterrissage le premier homme sur la lune de 1969 à 1972."
63,Apollo_program,1,"D’abord conçu pendant l’administration de Dwight D.Eisenhower comme un vaisseau spatial de trois hommes à suivre le programme Mercury unipersonnelle qui mettent les premiers américains dans l’espace, Apollo a été plus tard dédié au Président John F.Objectif national de Kennedy de « l’atterrissage d’un homme sur la lune et lui retourner en toute sécurité sur la terre » à la fin des années 1960, qu’il a proposé dans un 25 mai 1961, face au Congrès."
64,Apollo_program,1,Programme Mercury a été suivie par les deux hommes projet Gemini (1962-66).
65,Apollo_program,1,Le premier vol habité dApollon était en 1968.
66,European_Union_law,1,"Droit de l’Union européenne est un ensemble de traités et lois, telles que les règlements et Directives, qui ont l’effet direct ou indirect sur les législations des États membres de l’Union européenne."
67,European_Union_law,1,"Les trois sources du droit de l’Union européenne sont de droit primaire, secondaire et droit supplétif."
68,European_Union_law,1,Les principales sources du droit primaire sont les traités instituant l'Union européenne.
69,European_Union_law,1,Les sources secondaires comprennent les règlements et les directives basés sur les traités.
70,European_Union_law,1,"Le législateur de l'Union européenne est principalement composé du Parlement européen et du Conseil de l'Union européenne qui, en vertu des traités, peuvent établir un droit dérivé pour poursuivre l'objectif énoncé dans les traités."
71,Amazon_rainforest,1,"La forêt amazonienne (français: Forêt amazonienne; néerlandais: Amazoneregenwoud), également connue en anglais sous le nom d'Amazonie ou de la jungle amazonienne, est une forêt de feuillus humide qui couvre la majeure partie du bassin amazonien d'Amérique du Sud."
72,Amazon_rainforest,1,"Ce bassin couvre 7,000,000 kilomètres carrés (2,700,000 milles carrés), dont 5,500,000 kilomètres carrés (2,100,000 milles carrés) sont couverts par la forêt tropicale."
73,Amazon_rainforest,1,Cette région comprend le territoire des neuf nations.
74,Amazon_rainforest,1,"La majorité de la forêt se trouve au Brésil, 60 % de la forêt tropicale, suivie par le Pérou avec 13 %, la Colombie avec 10 % et avec des quantités mineures au Venezuela, Équateur, Bolivie, Guyana, Suriname et Guyane Français. "
75,Amazon_rainforest,1,Les États ou départements de quatre nations contiennent « Amazonas » dans leurs noms.
76,Amazon_rainforest,1,"L'Amazone représente plus de la moitié des forêts tropicales restantes de la planète et comprend les plus grands et plus riches en biodiversité étendue de forêt tropicale au monde, avec une estimation des 16,000 espèces."
77,Ctenophora,1,CTENOPHORA (de la κτείς grecque kteis au peigne et φέρω pherō carry ; communément comme gelées de peigne) sont un embranchement d’animaux qui vivent dans les eaux marines dans le monde entier.
78,Ctenophora,1,Leur caractéristique la plus distinctive est les « peignes » – groupes de cils qu’ils utilisent pour se baigner – ils sont les plus gros animaux qui nagent au moyen de cils.
79,Ctenophora,1,"Les adultes de diverses espèces vont de quelques millimètres à 1,5 m (4 pi 11 po)."
80,Ctenophora,1,"Comme les cnidaires, leurs corps consistent en une masse de gelée, avec une couche de cellules à l'extérieur et une autre à l'intérieur de la cavité interne."
81,Ctenophora,1,"Chez les cténophores, ces couches sont profondes de deux cellules, tandis que celles des cnidaires sont profondes d'une seule cellule."
82,Ctenophora,1,"Certains auteurs ont combiné des cténophores et des cnidaires dans un même phylum, Coelenterata, car les deux groupes dépendent de l'écoulement de l'eau à travers la cavité du corps à la fois pour la digestion et la respiration."
83,Ctenophora,1,La prise de conscience croissante des différences a persuadé les auteurs plus récents de les classer comme des phylums distincts.
84,"Fresno,_California",1,"Fresno (/ˈfrɛznoʊ/ FREZ-noh), le siége du comté de Fresno, est une ville de l'Etat américain de Californie."
85,"Fresno,_California",1,"En 2015, la population de la ville était de 520,159 habitants, ce qui en fait la cinquiéme plus grande ville de Californie, la plus grande de Californie intérieure et la 34éme plus grande ville du pays."
86,"Fresno,_California",1,"Fresno est au centre de la vallée de San Joaquin et est la plus grande ville de la Vallée Centrale, dont fait partie la vallée de San Joaquin."
87,"Fresno,_California",1,"La ville est à approximatviementà 220 miles (350 km) au nord-ouest de Los Angeles, et à 170 miles (270 km) au sud de la Capital étatique, Sacramento, ou encore à 185 miles (300 km) au sud de San Francisco."
88,"Fresno,_California",1,"Le nom Fresno signifie « frêne » en espagnol, et une feuille de frêne se trouve sur le drapeau de la ville."
89,Packet_switching,1,"En commençant vers la fin des années 1950, l'informaticien américain Paul Baran a développé le concept le Bloc de Message Adaptable Distribué Échangeant avec le but de fournir une méthode routing tolérante de faute, efficace pour les messages de télécommunication comme faisant partie d'un programme de recherche à la Société de RAND, financée par le Ministère de la défense américain."
90,Packet_switching,1,"Ce concept a mis en contraste et a contredit des principes établis du theretofore de pré-allocation de bande de fréquence de réseau, grandement fortifiée par le développement de télécommunications dans le Système de Cloche."
91,Packet_switching,1,Le nouveau concept a trouvé peu de résonance parmi le réseau implementers jusqu'au travail indépendant de Donald Davies au Laboratoire Physique national (le Royaume-Uni) (NPL) vers la fin des années 1960.
92,Packet_switching,1,"On attribue Davies le fait de forger la commutation de paquets de nom moderne et le fait d'inspirer de nombreux réseaux de commutation de paquets en Europe dans la décade après, en incluant l'incorporation du concept dans premier ARPANET dans les États-Unis."
93,Black_Death,1,"On pense que la Peste noire soit née dans les plaines arides de l'Asie Centrale, où il a alors voyagé le long de la Route de Soie, en atteignant Crimée par 1343."
94,Black_Death,1,"De là, il était très probablement porté par des puces de rat Oriental vivant sur les rats noirs qui étaient des passagers réguliers sur les navires marchands."
