question_id,title,paragraph_id,question,ans_1,ans_2,ans_3,question_id_unique,
0,Super_Bowl_50,1,Quelle équipe a représenté l'AFC au Super Bowl 50 ?,Le Denver Broncos,Denver Broncos,Denver Broncos,56be4db0acb8001400a502ec,
1,Super_Bowl_50,1,Quelle équipe a représenté la NFC au Super Bowl 50 ?,le Carolina Panthers,Carolina Panthers,Carolina Panthers,56be4db0acb8001400a502ed,
2,Super_Bowl_50,1,Où le Super Bowl 50 a-t-il eu lieu ?,"Santa Clara, en Californie",Levi's Stadium,"Levi's Stadium, dans la baie de San Francisco, à Santa Clara, en Californie",56be4db0acb8001400a502ee,
3,Super_Bowl_50,1,Quelle équipe de la NFL a gagné le Super Bowl 50 ?,Denver Broncos,Denver Broncos,Denver Broncos,56be4db0acb8001400a502ef,
4,Super_Bowl_50,1,Quelle couleur a été utilisée pour accentuer le 50ème anniversaire du Super Bowl ?,d'or,d'or,d'or,56be4db0acb8001400a502f0,
5,Super_Bowl_50,1,Quel était le thème du Super Bowl 50 ?,« anniversaire d'or »,thème de l'or,« anniversaire d'or »,56be8e613aeaaa14008c90d1,
6,Super_Bowl_50,1,A quel jour la partie a-t-elle été jouée ?,7 février 2016,7 février,7 février 2016,56be8e613aeaaa14008c90d2,
7,Super_Bowl_50,1,Que désigne l'abréviation AFC ?,Conférence américaine de football,Conférence américaine de football,Conférence américaine de football,56be8e613aeaaa14008c90d3,
8,Super_Bowl_50,1,Quel était le thème du Super Bowl 50 ?,« anniversaire d'or »,d'or,d'or,56bea9923aeaaa14008c91b9,
9,Super_Bowl_50,1,Que désigne l'abréviation AFC ?,Conférence américaine de football,Conférence américaine de football,Conférence américaine de football,56bea9923aeaaa14008c91ba,
10,Super_Bowl_50,1,A quel jour la partie a-t-elle été jouée ?,7 février 2016,7 février,7 février 2016,56bea9923aeaaa14008c91bb,
11,Super_Bowl_50,1,Qui a remporté le Super Bowl 50 ?,Denver Broncos,Le Denver Broncos,Denver Broncos,56beace93aeaaa14008c91df,
12,Super_Bowl_50,1,A quel endroit le Super Bowl 50 a-t-il eu lieu ?,Levi's Stadium,Levi's Stadium,"Levi's Stadium, dans la baie de San Francisco, à Santa Clara, en Californie",56beace93aeaaa14008c91e0,
13,Super_Bowl_50,1,Dans quelle ville s'est déroulé le Super Bowl 50 ?,Santa Clara,San Francisco,Santa Clara,56beace93aeaaa14008c91e1,
14,Super_Bowl_50,1,"Si des chiffres romains avaient été utilisés, quel aurait été le nom du Super Bowl 50 ?",Super Bowl L,L,Super Bowl L,56beace93aeaaa14008c91e2,
15,Super_Bowl_50,1,Le Super Bowl 50 a décidé du champion de la NFL pour quelle saison?,2015,2015,2015,56beace93aeaaa14008c91e3,
16,Super_Bowl_50,1,En quelle année les Broncos de Denver ont-ils obtenu un titre de Super Bowl pour la troisième fois ?,2015,2015,2015,56bf10f43aeaaa14008c94fd,
17,Super_Bowl_50,1,Dans quelle ville s'est déroulé le Super Bowl 50 ?,Santa Clara,Santa Clara,Santa Clara,56bf10f43aeaaa14008c94fe,
18,Super_Bowl_50,1,A quel endroit le Super Bowl 50 a-t-il eu lieu ?,Levi's Stadium,Levi's Stadium,Levi's Stadium,56bf10f43aeaaa14008c94ff,
19,Super_Bowl_50,1,Quel était le score final du Super Bowl 50 ?,24-10,24-10,24-10,56bf10f43aeaaa14008c9500,
20,Super_Bowl_50,1,A quel jour la partie a-t-elle été jouée ?,7 février 2016,7 février 2016,7 février 2016,56bf10f43aeaaa14008c9501,
21,Super_Bowl_50,1,En quelle année était le Super Bowl 50 ?,2015,2016,2015,56d20362e7d4791d009025e8,
22,Super_Bowl_50,1,Quelle équipe était la championne de l'AFC ?,Le Denver Broncos,Denver Broncos,Denver Broncos,56d20362e7d4791d009025e9,
