sent_index,title,para_idx,source_sentence
0,Super_Bowl_50,1,スーパーボウル50とは2015年シーズンのナショナルフットボールリーグ（NFL）のチャンピオンを決定するアメリカンフットボールの試合である。
1,Super_Bowl_50,1,アメリカンフットボールカンファレンス（AFC）チャンピオンのDenver Broncosは、ナショナルフットボールカンファレンス（NFC）チャンピオンのCarolina Panthersを24-10で破り、3度目のSuper Bowlタイトルを獲得した。
2,Super_Bowl_50,1,その試合は2016年2月7日にカリフォルニアのサンタクララにある、サンフランシスコのベイエリアのLevi's Stadiumで行われた。
3,Super_Bowl_50,1,これが第50回Super Bowlであったため、このリーグでは、さまざまな金色がテーマのイニシアチブで「黄金の記念日」を強調し、各スーパーボウルのゲームの名前をローマ数字で命名するという伝統を一時的に中止した。
4,Super_Bowl_51,1,スーパーボウル50はSuper Bowl Lとして知られるはずだった。
5,Super_Bowl_52,1,ロゴはアラビア数字の50を顕著に特徴付けることができた。
6,Warsaw,1,ワルシャワで生まれた最も有名な人の一人は、放射能に関する研究で国際的に認められ、ノーベル賞を受賞した最初の女性であるMarie Curieだった。
7,Warsaw,1,有名な音楽家にWładysław Szpilmanとフレデリック・ショパンが含まれる。
8,Warsaw,1,ショパンはワルシャワから約60キロメートル（37マイル）のŻelazowaWolaで生まれたが、彼は7ヶ月の時に家族と共に市内に移住した。
9,Warsaw,1,ポーランドの将軍でアメリカ革命戦争の英雄カジミール・プラスキは1745年にここで生まれた。
10,Normans,1,ノルマン人は、10世紀と11世紀にフランスのノルマンディーで活躍した。
11,Normans,1,彼らはデンマーク、アイスランド、ノルウェーからの侵略者と海賊の子孫であり、彼らのリーダーであるローロのもとで、西フランスのチャールズ3世に対する忠誠を誓うことに同意した。
12,Normans,1,原住民のフランク人とローマ・ガリア人の集団との同化と混合の世代を経て、彼らの子孫は徐々に西フランスのカロリングを基盤とした文化と合併した。
13,Normans,1,ノルマン人の明確な文化的及び民族的アイデンティティは、当初10世紀前半に現れ、続く数世紀に渡って進化を続けた。
14,Nikola_Tesla,1,ニコラ・テスラ（1856年7月10日 - 1943年1月7日) はセルビア系アメリカ人の発明家、電気工学者、機械工学者、物理学者、未来派であり、現代の交流（しばしばACと略される）供給システムの設計への貢献で有名である。
